|Theme|Sub-theme|Candidate|Proposition|Priority|Keywords|Data_origin|Data_source|Created_at|Updated_at
0| Social & Solidarité|    Allocations & prestations sociales    | Nathalie Arthaud |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
1| Social & Solidarité|    Allocations & prestations sociales    | Nicolas  Dupont-Aignan|Une journée par semaine de service pour la collectivité exigée pour les bénéficiaires du RSA.|0||Programme|IFRAP|2022-03-14|2022-03-14
2| Social & Solidarité|    Allocations & prestations sociales    | Nicolas  Dupont-Aignan|Revalorisation et déconjugalisation de l’AAH.|0||Programme|IFRAP|2022-03-14|2022-03-14
3| Social & Solidarité|    Allocations & prestations sociales    | Nicolas  Dupont-Aignan|Majoration des allocations familiales pour les foyers ne payant pas d'impôt sur le revenu.|0||Programme|IFRAP|2022-03-14|2022-03-14
4| Social & Solidarité|    Allocations & prestations sociales    | Nicolas  Dupont-Aignan|Allocations et quotients familiaux, prestation d’accueil du jeune enfant, rétablis au niveau de 2012.|0||Programme|IFRAP|2022-03-14|2022-03-14
5| Social & Solidarité|    Allocations & prestations sociales    | Nicolas  Dupont-Aignan|Création d’un congé parental rémunéré à 75% du SMIC pour une durée de trois ans, réparti entre père et mère. Utilisable une seule fois par couple pour un seul enfant (2ème ou 3ème).|0||Programme|IFRAP|2022-03-14|2022-03-14
6| Social & Solidarité|    Allocations & prestations sociales    | Nicolas  Dupont-Aignan|Limiter le reste à charge des usagers et des familles via notamment le relèvement du plafond de l’APA et concevoir un plafond des dépenses : Créer un bouclier autonomie avec soutien financier pour ceux qui résident plus de 4 ans en EHPAD.|0||Programme|IFRAP|2022-03-14|2022-03-14
7| Social & Solidarité|    Allocations & prestations sociales    | Nicolas  Dupont-Aignan|Rendre le permis de conduire gratuit en échange d'un travail d'intérêt général d'un mois.|0||Programme|IFRAP|2022-03-14|2022-03-14
8| Social & Solidarité|    Allocations & prestations sociales    | Anne Hidalgo|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
9| Social & Solidarité|    Allocations & prestations sociales    | Yannick Jadot|Chiffre clé 400 euros/an Augmentation du chèque énergie|1||Programme|IFRAP|2022-03-14|2022-03-14
