Sondeur,Dates,Échantillon,Arthaud,Poutou,Roussel,Mélenchon,Hidalgo,Jadot,Macron,Pécresse,Lassalle,Dupont-Aignan,Le Pen,Zemmour,Taubira,Autres,Philippot,Asselineau,Thouy,Montebourg,Lagarde,CandidatLR,Poisson,Jadot[N 3],CandidatLR/SL/DVD
Ipsos(rolling), 2 avril 2021,1 963,0.5,1.5,3.0,15.5,2.0,6.0,26.0,9.5,2.5,1.5,21.0,11.0,,,,,,,,,,,
Elabe, 1 avril 2021,1 472,0.5,1.5,3.5,15.0,1.5,4.5,28.5,8.5,2.5,2.5,22.0,9.5,,,,,,,,,,,
BVA,31 mars 2021,1 502,1.0,1.0,3.5,15.5,2.0,5.0,27.0,9.5,2.5,2.5,21.0,9.5,,,,,,,,,,,
Ifop(rolling),31 mars 2021,2 995,0.5,0.5,4.0,15.5,1.5,4.5,28.0,10.0,2.0,1.5,21.0,11.0,,,,,,,,,,,
Elabe,30 mars 2021,1 531,0.5,1.5,2.5,15.5,2.0,4.0,28.0,9.5,2.5,2.5,21.0,10.5,,,,,,,,,,,
Ipsos(rolling),30 mars 2021,1 728,0.5,1.5,3.0,15.5,1.5,6.0,27.0,9.0,2.0,2.0,20.5,11.5,,,,,,,,,,,
OpinionWay(rolling),28 mars 2021,1 627,1.0,1.0,3.0,14.0,2.0,5.0,28.0,11.0,3.0,2.0,20.0,10.0,,,,,,,,,,,
Harris Interractive,28 mars 2021,2 384,0.5,1.0,3.0,15.0,2.5,5.0,28.5,9.5,2.0,2.0,21.0,10.0,,,,,,,,,,,
Ifop(rolling),28 mars 2021,1 501,0.5,0.5,3.5,14.0,2.5,5.0,28.0,11.0,1.5,1.5,21.0,11.0,,,,,,,,,,,
OpinionWay,27 mars 2021,1 072,1.0,1.0,4.0,14.0,2.0,6.0,27.0,10.0,3.0,2.0,20.0,10.0,,,,,,,,,,,
Ipsos(rolling),26 mars 2021,1 726,0.5,1.0,3.5,14.5,2.5,6.0,28.5,10.0,2.5,2.5,17.5,11.0,,,,,,,,,,,
OpinionWay,24 mars 2021,1 001,1.0,1.0,4.0,14.0,2.0,6.0,27.0,11.0,2.0,2.0,20.0,10.0,,,,,,,,,,,
Ipsos,24 mars 2021,13 269,0.5,1.5,3.5,14.0,2.0,7.0,28.0,10.0,2.5,2.0,17.5,11.5,,,,,,,,,,,
Ifop(rolling),24 mars 2021,1 505,0.5,0.5,3.5,14.0,2.0,4.5,28.5,11.5,2.0,1.5,20.0,11.5,,,,,,,,,,,
OpinionWay(rolling),24 mars 2021,1 619,1.0,1.0,4.0,14.0,2.0,5.0,28.0,12.0,3.0,1.0,20.0,9.0,,,,,,,,,,,
OpinionWay,23 mars 2021,1 105,1.0,1.0,4.0,14.0,2.0,6.0,28.0,11.0,2.0,2.0,19.0,10.0,,,,,,,,,,,
BVA,23 mars 2021,1 500,0.5,1.5,3.0,14.5,2.0,6.0,28.0,10.5,2.5,1.5,19.0,11.0,,,,,,,,,,,
Kantar,23 mars 2021,1 388,1.0,1.0,3.0,14.0,2.0,4.5,29.0,10.0,2.0,2.5,20.0,11.0,,,,,,,,,,,
Ipsos(rolling),23 mars 2021,1 721,1.0,1.0,4.0,12.5,2.0,7.0,29.5,9.5,2.5,1.5,18.5,11.0,,,,,,,,,,,
Opinionway,22 mars 2021,1 092,1.0,2.0,3.0,14.0,2.0,5.0,29.0,12.0,2.0,2.0,18.0,10.0,,,,,,,,,,,
Opinionway,21 mars 2021,1 092,1.0,2.0,3.0,14.0,2.0,6.0,28.0,12.0,2.0,2.0,18.0,10.0,,,,,,,,,,,
Elabe,21 mars 2021,1 551,0.5,1.5,3.5,15.0,1.5,4.5,27.5,10.0,3.0,3.0,20.0,10.0,,,,,,,,,,,
Harris Interractive,21 mars 2021,2 344,0.5,1.0,3.0,14.0,2.5,5.0,29.5,10.0,2.0,2.0,19.5,11.0,,,,,,,,,,,
OpinionWay(rolling),21 mars 2021,1 636,1.0,1.0,4.0,13.0,3.0,5.0,29.0,13.0,2.0,2.0,18.0,9.0,,,,,,,,,,,
Ifop(rolling),21 mars 2021,1 508,0.0,0.5,4.0,14.0,2.0,5.5,28.0,10.5,3.0,1.5,18.5,12.5,,,,,,,,,,,
Opinionway,20 mars 2021,1 092,1.0,1.0,4.0,13.0,3.0,5.0,29.0,13.0,3.0,1.0,17.0,10.0,,,,,,,,,,,
