|Theme|Sub-theme|Candidate|Proposition|Priority|Keywords|Data_origin|Data_source|Created_at|Updated_at
0| Social & Solidarité|    Allocations & prestations sociales    | Nicolas  Dupont-Aignan|Une journée par semaine de service pour la collectivité exigée pour les bénéficiaires du RSA.|0||Programme|IFRAP|2022-01-20|2022-01-20
1| Social & Solidarité|    Allocations & prestations sociales    | Nicolas  Dupont-Aignan|Revalorisation et déconjugalisation de l’AAH.|0||Programme|IFRAP|2022-01-20|2022-01-20
2| Social & Solidarité|    Allocations & prestations sociales    | Nicolas  Dupont-Aignan|Majoration des allocations familiales pour les foyers ne payant pas d'impôt sur le revenu.|0||Programme|IFRAP|2022-01-20|2022-01-20
3| Social & Solidarité|    Allocations & prestations sociales    | Nicolas  Dupont-Aignan|Allocations et quotients familiaux, prestation d’accueil du jeune enfant, rétablis au niveau de 2012.|0||Programme|IFRAP|2022-01-20|2022-01-20
4| Social & Solidarité|    Allocations & prestations sociales    | Nicolas  Dupont-Aignan|Création d’un congé parental rémunéré à 75% du SMIC pour une durée de trois ans, réparti entre père et mère. Utilisable une seule fois par couple pour un seul enfant (2ème ou 3ème).|0||Programme|IFRAP|2022-01-20|2022-01-20
5| Social & Solidarité|    Allocations & prestations sociales    | Nicolas  Dupont-Aignan|Limiter le reste à charge des usagers et des familles via notamment le relèvement du plafond de l’APA et concevoir un plafond des dépenses : Créer un bouclier autonomie avec soutien financier pour ceux qui résident plus de 4 ans en EHPAD.|0||Programme|IFRAP|2022-01-20|2022-01-20
6| Social & Solidarité|    Allocations & prestations sociales    | Nicolas  Dupont-Aignan|Rendre le permis de conduire gratuit en échange d'un travail d'intérêt général d'un mois.|0||Programme|IFRAP|2022-01-20|2022-01-20
7| Social & Solidarité|    Allocations & prestations sociales    | Anne Hidalgo|Proposition non encore connue|-1||Programme|IFRAP|2022-01-20|2022-01-20
8| Social & Solidarité|    Allocations & prestations sociales    | Yannick Jadot|              Chiffre clé             400 euros/an Augmentation du chèque énergie|1||Programme|IFRAP|2022-01-20|2022-01-20
9| Social & Solidarité|    Allocations & prestations sociales    | Yannick Jadot|Déconjugaliser l’Allocation Adulte Handicapé.|0||Programme|IFRAP|2022-01-20|2022-01-20
10| Social & Solidarité|    Allocations & prestations sociales    | Yannick Jadot|Augmenter le chèque énergie pour les plus précaires pour atteindre 400 €/an.|0||Programme|IFRAP|2022-01-20|2022-01-20
11| Social & Solidarité|    Allocations & prestations sociales    | Marine Le Pen|Prêt aux jeunes parents qu’ils n’auraient plus besoin de rembourser après la naissance de leur troisième enfant.|0||Programme|IFRAP|2022-01-20|2022-01-20
12| Social & Solidarité|    Allocations & prestations sociales    | Marine Le Pen|Réserver les aides sociales aux Français.|0||Programme|IFRAP|2022-01-20|2022-01-20
13| Social & Solidarité|    Allocations & prestations sociales    | Marine Le Pen|Moduler la prime d’activité pour l’augmenter dans les secteurs d’activité souffrant le plus d’une pénurie de main-d’œuvre.|0||Programme|IFRAP|2022-01-20|2022-01-20
14| Social & Solidarité|    Allocations & prestations sociales    | Marine Le Pen|Créer une prime pour les étudiants qui travaillent, conditionnée à la validation de leurs semestres.|0||Programme|IFRAP|2022-01-20|2022-01-20
